,Star_name,Distance,Mass,Radius,gravity
115,SDSSp J010752.33+004156.1 [de],51,52,0.98,14850.058721259731
116,2MASSI J0117474-340325 [de],163,20,1.62,2090.147549608093
117,2MASS J01415823-4633574 [de],130,20,1.61,2116.192750739354
118,SDSS J015141.69+124429.6,70,47,0.97,13700.340725475582
119,DENIS-P J020529.0−115925A,65,,,
120,DENIS-P J020529.0−115925B,65,,,
121,DENIS-P J020529.0−115925C,65,,,
122,SDSS J020742.48+000056.2 [de],111,47,0.97,13700.340725475582
123,2MASS J02103857-3015313,101,15,1.53,1757.459704341753
124,2MASS J02340093-6442068,155,20,1.62,2090.147549608093
125,2MASS J02411151-0326587 [de],152,27,1.41,3724.796217196568
126,2MASS J02431371−2453298,35,33,0.99,9234.651900995756
127,LP 771-21,53,78,1.08,18341.044747811015
128,2MASS J02511327+0047364,,,,
129,Teegarden's star,12.578,80,1.27,13603.777615950099
130,2MASS J02535980+3206373,184,65,1.9,4938.364403011719
131,WISE J0254+0223,24,65,1.9,4938.364403011719
132,DEN 0255-4700,16.2,80,0.97,23319.728894426524
133,2MASS J03185403-3421292 [de],45,49,0.97,14283.333947836245
134,2MASS J03205965+1854233,47,88,1.15,18250.04628237619
135,2MASS J03231002-4631237,192,23,1.66,2289.2258359595735
136,SDSS J032553.17+042540.1,59,45,0.95,13675.470654493993
137,2MASS J03264225-2102057 [de],80,18,1.3,2921.2100037114383
138,2MASS J03284265+2302051 [de],98,54,0.98,15421.214825923567
139,2MASS J03341218-4953322,27.0,73,1.04,18511.13978046311
140,LP 944-20,20.9,73,1.43,9791.01608222842
141,2MASP J0345432+254023,88,74,1.05,18408.9958712095
142,Teide 1,380,55,3.78,1055.7377929142917
143,2MASS J03510004-0052452,48,102,1.27,17344.816460336373
144,2MASS J03552337+1133437,29.8,20,1.32,3148.1767844303713
145,DENIS-P J035726.9-441730 [de],130,,,
146,2MASS J04151954−0935066,18.6,30,0.95,9116.980436329328
147,SDSSp J042348.57-041403.5 [de],50,,,
148,2MASS J04285096-2253227 [de],85,80,1.09,18467.749277641542
149,2MASS J04351612-1606574,34,100,1.26,17275.709338597502
150,2MASS J04362788-4114465,142,39,1.97,2756.1898778436403
151,2MASS J04390101-2353083 [de],29.5,48,0.97,13991.837336655914
152,2MASS J04414489+2301513,470,19,,
153,2MASS J04433764+0002040,82,22,1.78,1904.4064992143121
154,2MASS J04455387-3048204 [de],42,64,1.00,17553.22633341273
155,2MASS J04510093-3402150 [de],69,1.04,72,0.055023134243433046
156,2MASS J05002100+0330501 [de],44,64,1.00,17553.22633341273
157,2MASS J05012406-0010452 [de],64,21,1.38,3024.392139598327
158,2MASS J05160945-0445499 [de],73,47,0.97,13700.340725475582
159,2MASS J0523−1403,40,68,1.01,18282.81833080191
160,2MASS 0532+8246,81,83,,
161,SDSS J053951.99-005902.0,41.62,61,1.01,16400.763502631125
162,2MASS J05591914-1404488 [de],34,,,
163,LSR 0602+3910 [de],34.6,28,1.41,3862.7516326482923
164,2MASS J06085283-2753583,102,38,1.51,4570.952210632784
165,WISEP J061135.13-041024.0A,69,65,,
166,WISEP J061135.13-041024.0B,69,53,,
167,2MASS J06244595-4521548 [de],39,56,0.99,15670.924438053404
168,2MASS J06411840-4322329 [de],65,67,1.01,18013.95335534894
169,DENIS-P J0652197-253450 [de],51,75,1.05,18657.766085685304
170,2MASS J07003664+3157266 [de],40,,,
171,2MASS J07075327-4900503,60,72,1.03,18613.799250720447
172,UGPS J072227.51-054031.2,13.4,26,0.98,7425.029360629866
173,2MASSI J0727182+171001 [de],29.6,41,0.94,12726.387075421604
174,2MASS J07290002-3954043 [de],25.8,37,0.94,11484.788336356085
175,SDSS J074201.41+205520.5 [de],49,43,0.94,13347.186444954366
176,2MASS J0746425+200032 [fr],49.6,,,
177,DENIS-P J0751164-253043 [de],55,71,1.03,18355.27426112711
178,2MASS J07522390+1612157,60,2.01,68,0.11922167269328364
179,DENIS J081730.0-615520,16.1,44,0.94,13657.586129720748
180,DENIS J082303.1−491201A,67,44,,
181,DENIS J082303.1−491201B,67,28,,
182,2MASS J08251968+2115521 [de],35,52,0.98,14850.058721259731
183,SDSSp J083008.12+482847.4 [de],43,48,0.99,13432.220946902917
184,LHS 2021,55,88,1.15,18250.04628237619
185,SDSS J083048.80+012831.1 [de],77,46,0.96,13689.649986046441
186,2MASSI J0835425-081923 [de],23.53,62,1.00,17004.688010493584
187,2MASSI J0847287-153237 [de],43,64,1.00,17553.22633341273
188,2MASS J08533619-0329321,27.6,77,1.07,18445.912684415405
189,2MASSI J0859254-194926 [de],50,50,0.98,14278.902616595895
190,2MASSW J0920122+351742 [de],95,,,
191,2MASSI J0937347+293142,20.0,42,0.94,13036.786760187986
192,2MASS 0939−2448,17.4,32,0.95,9724.779132084615
193,2MASS J09490860-1545485 [de],59,49,0.96,14582.453246005993
194,2MASS J10073369-4555147,46,44,0.94,13657.586129720748
195,2MASSI J1010148-040649 [de],55,51,0.98,14564.480668927812
196,2MASSI J1017075+130839 [de],108,,,
197,SDSS J102109.69-030420.1,95,,,
198,2MASS J10224821+5825453 [de],60,27,1.41,3724.796217196568
199,2MASSW J1036530-344138 [de],53,49,0.97,14283.333947836245
200,2MASS J1047538+212423 [de],34.4,42,0.94,13036.786760187986
201,DEN 1048-3956,13.15,77,1.07,18445.912684415405
202,Luhman 16B,6.516,43,1.02,11335.615093004306
203,Luhman 16A,6.516,40,1.01,10754.59901811877
204,DENIS-P J1058.7−1548,49,64,1.00,17553.22633341273
205,TWA 28,180,36,2.39,1728.5568902058196
206,Cha 110913-773444,163,8,1.8,677.2078060730221
207,OTS 44,554,15,,
208,SDSS J111010.01+011613.1,63,9,1.24,1605.3736037566111
209,2MASS J11145133−2618235,18.2,33,0.96,9820.835859555056
210,TWA 26,137,30,2.20,1700.0154635924
211,2MASSW J1146345+223053,89,,,
212,2MASS J11544223-3400390 [de],129,37,1.50,4510.2039884463275
213,2MASSW J1155395-372735 [de],31,64,1.00,17553.22633341273
214,TWA 27A,,,,
215,TWA 27B,,,,
216,2MASS J12074836-3900043,217,17,1.71,1594.5336154073927
217,2MASSI J1217110-031113 [de],36,42,0.94,13036.786760187986
218,2MASS J12255432-2739466,43,,,
219,DENIS-P J1228.2-1547,66,,,
220,2M 1237+6526,45.6,41,0.94,12726.387075421604
221,2MASSW J1239272+551537 [de],119,,,
222,TWA 29,262,2.00,25,0.8776613166706366
223,SDSSp J125453.90-012247.4 [de],38,47,0.98,13422.16845960014
224,Kelu-1A,61,63,0.98,17991.417296910826
225,Kelu-1B,61,58,0.98,16563.527035251238
226,2MASS J13204427+0409045,101,67,1.01,18013.95335534894
227,SDSSp J132629.82-003831.5 [de],65,51,0.97,14866.327170196908
228,SDSSp J134646.45-003150.4 [de],48,44,0.94,13657.586129720748
229,2MASS J13595510-4034582,51,63,1.00,17278.95717195316
230,ULAS J141623.94+134836.3,29.7,32,0.96,9523.234772901873
231,SDSS J141659.78+500626.4 [de],149,59,0.99,16510.438247234833
232,DENIS-P J142527.97-365023.4 [de],38,21,1.32,3305.5856236518894
233,LHS 2924,38.5,76,1.06,18551.491875158084
234,2MASS J14392837+1929150,47,72,1.03,18613.799250720447
235,LSPM J1440+1339,72,92,1.19,17818.48941055067
236,2MASS J14482563+1031590 [de],47,59,0.99,16510.438247234833
237,CFBDSIR 1458+10A,104,11.1,1.5,1353.0611965338978
238,CFBDSIR 1458+10B,104,9,1.3,1460.6050018557191
239,TVLM 513-46546,35.1,75,1.05,18657.766085685304
240,2MASS 1503+2525,20.7,44,0.94,13657.586129720748
241,CFBDS J150411+102717,71,44,0.94,13657.586129720748
242,2MASSW J1506544+132106 [de],46,69,1.02,18189.707939937143
243,2MASS 1507−1627,23.9,60,0.99,16790.276183628648
244,TVLM 868-110639,53,79,1.08,18576.186347141924
245,SDSS J151114.66+060742.9 [de],89,,,
246,2MASSW J1515008+484742 [de],34,57,0.99,15950.762374447213
247,2MASSI J1526140+204341 [de],67,54,0.98,15421.214825923567
248,DENIS-P J153941.96-052042.4 [de],51,63,1.00,17278.95717195316
249,2MASS J15462718-3325111 [de],37,44,0.94,13657.586129720748
250,2MASSW J1552591+294849 [de],68,30,1.43,4023.7052392719534
251,2MASSW J1555157-095605 [de],44,71,1.03,18355.27426112711
252,2MASS J16150413+1340079 [de],48,42,0.94,13036.786760187986
253,SDSSp J162414.37+002915.6 [de],36,43,0.94,13347.186444954366
254,2MASS J16262034+3925190 [de],110,71,1.03,18355.27426112711
255,2MASSW J1632291+190441 [de],50,49,0.97,14283.333947836245
256,WISEPA J164715.59+563208.2,28,41,0.94,12726.387075421604
257,LSPM J1658+7027 [de],60,73,1.04,18511.13978046311
258,2MASSI J1726000+153819,114,24,1.40,3358.3978954233553
259,2MASSW J1728114+394859,79,,,
260,SDSSp J175032.96+175903.9,90,47,0.97,13700.340725475582
261,2MASS J18283572-4849046,39,45,0.95,13675.470654493993
262,LSR J1835+3259,18.5,77,1.07,18445.912684415405
